year,driver_name,driver_number,team_name,session_1_type,circuit_name,circuit_key,event_name,session_1_avg_lap_time,session_1_starting_air_temp,session_1_starting_humidity,session_1_starting_pressure,session_1_starting_rainfall,session_1_starting_track_temp,session_1_starting_wind_direction,session_1_starting_wind_speed,session_1_ending_air_temp,session_1_ending_humidity,session_1_ending_pressure,session_1_ending_rainfall,session_1_ending_track_temp,session_1_ending_wind_direction,session_1_ending_wind_speed,session_2_type,session_2_avg_lap_time,session_2_starting_air_temp,session_2_starting_humidity,session_2_starting_pressure,session_2_starting_rainfall,session_2_starting_track_temp,session_2_starting_wind_direction,session_2_starting_wind_speed,session_2_ending_air_temp,session_2_ending_humidity,session_2_ending_pressure,session_2_ending_rainfall,session_2_ending_track_temp,session_2_ending_wind_direction,session_2_ending_wind_speed,session_3_type,session_3_avg_lap_time,session_3_starting_air_temp,session_3_starting_humidity,session_3_starting_pressure,session_3_starting_rainfall,session_3_starting_track_temp,session_3_starting_wind_direction,session_3_starting_wind_speed,session_3_ending_air_temp,session_3_ending_humidity,session_3_ending_pressure,session_3_ending_rainfall,session_3_ending_track_temp,session_3_ending_wind_direction,session_3_ending_wind_speed,session_4_type,session_4_final_position,session_4_q1_best_lap,session_4_q2_best_lap,session_4_q3_best_lap,session_4_gap_to_fastest,session_4_starting_air_temp,session_4_starting_humidity,session_4_starting_pressure,session_4_starting_rainfall,session_4_starting_track_temp,session_4_starting_wind_direction,session_4_starting_wind_speed,session_4_ending_air_temp,session_4_ending_humidity,session_4_ending_pressure,session_4_ending_rainfall,session_4_ending_track_temp,session_4_ending_wind_direction,session_4_ending_wind_speed,session_5_type,session_5_final_position,session_5_avg_lap_time,session_5_starting_air_temp,session_5_starting_humidity,session_5_starting_pressure,session_5_starting_rainfall,session_5_starting_track_temp,session_5_starting_wind_direction,session_5_starting_wind_speed,session_5_ending_air_temp,session_5_ending_humidity,session_5_ending_pressure,session_5_ending_rainfall,session_5_ending_track_temp,session_5_ending_wind_direction,session_5_ending_wind_speed
2020,C SAINZ,55,McLaren,Practice,Algarve International Circuit,147.0,Portuguese Grand Prix,87.64750000000001,17.5,80.2,1011.9,False,22.3,119.0,0.8,20.0,58.9,1012.1,False,30.2,313.0,2.3,Practice,87.5245185185185,20.7,54.6,1011.7,False,35.8,306.0,2.7,20.2,51.7,1012.0,False,29.4,328.0,3.0,Practice,84.85863157894737,17.7,54.4,1015.6,False,22.0,146.0,0.7,19.8,44.6,1015.1,False,30.4,322.0,0.4,Qualifying,7.0,77.627,77.183,77.52,1.054000000000002,21.1,47.2,1014.3,False,34.7,329.0,2.4,21.2,50.2,1013.3,False,35.3,147.0,0.4,Race,6.0,83.312,20.7,62.9,1008.5,False,25.8,153.0,2.2,20.2,72.5,1006.4,False,24.5,170.0,4.1
2020,G RUSSELL,63,Williams,Practice,Algarve International Circuit,147.0,Portuguese Grand Prix,93.04255555555557,17.5,80.2,1011.9,False,22.3,119.0,0.8,20.0,58.9,1012.1,False,30.2,313.0,2.3,Practice,89.43417857142856,20.7,54.6,1011.7,False,35.8,306.0,2.7,20.2,51.7,1012.0,False,29.4,328.0,3.0,Practice,94.749875,17.7,54.4,1015.6,False,22.0,146.0,0.7,19.8,44.6,1015.1,False,30.4,322.0,0.4,Qualifying,14.0,77.931,77.788,,1.3220000000000027,21.1,47.2,1014.3,False,34.7,329.0,2.4,21.2,50.2,1013.3,False,35.3,147.0,0.4,Race,14.0,83.92370769230769,20.7,62.9,1008.5,False,25.8,153.0,2.2,20.2,72.5,1006.4,False,24.5,170.0,4.1
2020,V BOTTAS,77,Mercedes,Practice,Algarve International Circuit,147.0,Portuguese Grand Prix,89.47628125,17.5,80.2,1011.9,False,22.3,119.0,0.8,20.0,58.9,1012.1,False,30.2,313.0,2.3,Practice,87.19663999999999,20.7,54.6,1011.7,False,35.8,306.0,2.7,20.2,51.7,1012.0,False,29.4,328.0,3.0,Practice,85.04559090909092,17.7,54.4,1015.6,False,22.0,146.0,0.7,19.8,44.6,1015.1,False,30.4,322.0,0.4,Qualifying,2.0,76.945,76.466,76.754,0.2880000000000109,21.1,47.2,1014.3,False,34.7,329.0,2.4,21.2,50.2,1013.3,False,35.3,147.0,0.4,Race,2.0,82.15787878787879,20.7,62.9,1008.5,False,25.8,153.0,2.2,20.2,72.5,1006.4,False,24.5,170.0,4.1
2020,A GIOVINAZZI,99,Alfa Romeo Racing,Practice,Algarve International Circuit,147.0,Portuguese Grand Prix,92.32558064516128,17.5,80.2,1011.9,False,22.3,119.0,0.8,20.0,58.9,1012.1,False,30.2,313.0,2.3,Practice,87.62351851851852,20.7,54.6,1011.7,False,35.8,306.0,2.7,20.2,51.7,1012.0,False,29.4,328.0,3.0,Practice,91.96011764705882,17.7,54.4,1015.6,False,22.0,146.0,0.7,19.8,44.6,1015.1,False,30.4,322.0,0.4,Qualifying,17.0,78.323,,,1.856999999999999,21.1,47.2,1014.3,False,34.7,329.0,2.4,21.2,50.2,1013.3,False,35.3,147.0,0.4,Race,15.0,84.11724615384617,20.7,62.9,1008.5,False,25.8,153.0,2.2,20.2,72.5,1006.4,False,24.5,170.0,4.1
2020,D RICCIARDO,3,Renault,Practice,Imola,6.0,Emilia Romagna Grand Prix,90.31257142857145,15.5,76.3,1020.4,False,16.9,237.0,0.6,17.6,70.2,1019.9,False,22.8,129.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qualifying,5.0,75.474,74.953,74.52,0.9110000000000014,18.8,66.1,1018.3,False,26.1,179.0,1.2,18.7,67.8,1018.0,False,23.9,91.0,2.1,Race,3.0,84.5515873015873,16.9,74.2,1018.2,False,23.5,60.0,0.5,18.3,70.6,1017.5,False,22.0,66.0,1.6
2020,L NORRIS,4,McLaren,Practice,Imola,6.0,Emilia Romagna Grand Prix,85.78578048780489,15.5,76.3,1020.4,False,16.9,237.0,0.6,17.6,70.2,1019.9,False,22.8,129.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qualifying,9.0,75.274,75.051,74.814,1.2049999999999983,18.8,66.1,1018.3,False,26.1,179.0,1.2,18.7,67.8,1018.0,False,23.9,91.0,2.1,Race,8.0,84.65969841269842,16.9,74.2,1018.2,False,23.5,60.0,0.5,18.3,70.6,1017.5,False,22.0,66.0,1.6
2020,S VETTEL,5,Ferrari,Practice,Imola,6.0,Emilia Romagna Grand Prix,89.3432,15.5,76.3,1020.4,False,16.9,237.0,0.6,17.6,70.2,1019.9,False,22.8,129.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qualifying,14.0,75.571,75.385,,1.7760000000000105,18.8,66.1,1018.3,False,26.1,179.0,1.2,18.7,67.8,1018.0,False,23.9,91.0,2.1,Race,12.0,84.77592063492065,16.9,74.2,1018.2,False,23.5,60.0,0.5,18.3,70.6,1017.5,False,22.0,66.0,1.6
2020,N LATIFI,6,Williams,Practice,Imola,6.0,Emilia Romagna Grand Prix,92.90816,15.5,76.3,1020.4,False,16.9,237.0,0.6,17.6,70.2,1019.9,False,22.8,129.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qualifying,19.0,75.987,,,2.378,18.8,66.1,1018.3,False,26.1,179.0,1.2,18.7,67.8,1018.0,False,23.9,91.0,2.1,Race,11.0,84.755,16.9,74.2,1018.2,False,23.5,60.0,0.5,18.3,70.6,1017.5,False,22.0,66.0,1.6
2020,K RAIKKONEN,7,Alfa Romeo Racing,Practice,Imola,6.0,Emilia Romagna Grand Prix,87.75105128205128,15.5,76.3,1020.4,False,16.9,237.0,0.6,17.6,70.2,1019.9,False,22.8,129.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qualifying,18.0,75.953,,,2.3440000000000083,18.8,66.1,1018.3,False,26.1,179.0,1.2,18.7,67.8,1018.0,False,23.9,91.0,2.1,Race,9.0,84.67704761904763,16.9,74.2,1018.2,False,23.5,60.0,0.5,18.3,70.6,1017.5,False,22.0,66.0,1.6
2020,R GROSJEAN,8,Haas F1 Team,Practice,Imola,6.0,Emilia Romagna Grand Prix,86.47313157894736,15.5,76.3,1020.4,False,16.9,237.0,0.6,17.6,70.2,1019.9,False,22.8,129.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qualifying,16.0,75.918,,,2.3090000000000117,18.8,66.1,1018.3,False,26.1,179.0,1.2,18.7,67.8,1018.0,False,23.9,91.0,2.1,Race,14.0,84.76769841269842,16.9,74.2,1018.2,False,23.5,60.0,0.5,18.3,70.6,1017.5,False,22.0,66.0,1.6
2020,P GASLY,10,AlphaTauri,Practice,Imola,6.0,Emilia Romagna Grand Prix,86.04161904761904,15.5,76.3,1020.4,False,16.9,237.0,0.6,17.6,70.2,1019.9,False,22.8,129.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qualifying,4.0,75.183,74.681,74.502,0.8930000000000007,18.8,66.1,1018.3,False,26.1,179.0,1.2,18.7,67.8,1018.0,False,23.9,91.0,2.1,Race,20.0,82.098375,16.9,74.2,1018.2,False,23.5,60.0,0.5,18.3,70.6,1017.5,False,22.0,66.0,1.6
2020,S PEREZ,11,Racing Point,Practice,Imola,6.0,Emilia Romagna Grand Prix,84.52302702702704,15.5,76.3,1020.4,False,16.9,237.0,0.6,17.6,70.2,1019.9,False,22.8,129.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qualifying,11.0,75.407,75.061,,1.4520000000000124,18.8,66.1,1018.3,False,26.1,179.0,1.2,18.7,67.8,1018.0,False,23.9,91.0,2.1,Race,6.0,84.63622222222223,16.9,74.2,1018.2,False,23.5,60.0,0.5,18.3,70.6,1017.5,False,22.0,66.0,1.6
