year,driver_name,driver_number,team_name,session_1_type,circuit_name,circuit_key,event_name,session_1_avg_lap_time,session_1_starting_air_temp,session_1_starting_humidity,session_1_starting_pressure,session_1_starting_rainfall,session_1_starting_track_temp,session_1_starting_wind_direction,session_1_starting_wind_speed,session_1_ending_air_temp,session_1_ending_humidity,session_1_ending_pressure,session_1_ending_rainfall,session_1_ending_track_temp,session_1_ending_wind_direction,session_1_ending_wind_speed,session_2_type,session_2_avg_lap_time,session_2_starting_air_temp,session_2_starting_humidity,session_2_starting_pressure,session_2_starting_rainfall,session_2_starting_track_temp,session_2_starting_wind_direction,session_2_starting_wind_speed,session_2_ending_air_temp,session_2_ending_humidity,session_2_ending_pressure,session_2_ending_rainfall,session_2_ending_track_temp,session_2_ending_wind_direction,session_2_ending_wind_speed,session_3_type,session_3_avg_lap_time,session_3_starting_air_temp,session_3_starting_humidity,session_3_starting_pressure,session_3_starting_rainfall,session_3_starting_track_temp,session_3_starting_wind_direction,session_3_starting_wind_speed,session_3_ending_air_temp,session_3_ending_humidity,session_3_ending_pressure,session_3_ending_rainfall,session_3_ending_track_temp,session_3_ending_wind_direction,session_3_ending_wind_speed,session_4_type,session_4_final_position,session_4_q1_best_lap,session_4_q2_best_lap,session_4_q3_best_lap,session_4_gap_to_fastest,session_4_starting_air_temp,session_4_starting_humidity,session_4_starting_pressure,session_4_starting_rainfall,session_4_starting_track_temp,session_4_starting_wind_direction,session_4_starting_wind_speed,session_4_ending_air_temp,session_4_ending_humidity,session_4_ending_pressure,session_4_ending_rainfall,session_4_ending_track_temp,session_4_ending_wind_direction,session_4_ending_wind_speed,session_5_type,session_5_final_position,session_5_avg_lap_time,session_5_starting_air_temp,session_5_starting_humidity,session_5_starting_pressure,session_5_starting_rainfall,session_5_starting_track_temp,session_5_starting_wind_direction,session_5_starting_wind_speed,session_5_ending_air_temp,session_5_ending_humidity,session_5_ending_pressure,session_5_ending_rainfall,session_5_ending_track_temp,session_5_ending_wind_direction,session_5_ending_wind_speed,session_2_final_position,session_2_q1_best_lap,session_2_q2_best_lap,session_2_q3_best_lap,session_2_gap_to_fastest,session_4_avg_lap_time
2022,D RICCIARDO,3,McLaren,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,121.61971428571428,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,121.49927272727273,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,115.7316153846154,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,11.0,106.212,105.767,,2.1019999999999897,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,15.0,116.61833333333335,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,L NORRIS,4,McLaren,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,116.717,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,121.9009090909091,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,117.25878571428572,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,10.0,105.745,105.603,106.178,2.512999999999991,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,12.0,116.72688095238094,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,S VETTEL,5,Aston Martin,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,125.1675,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,118.96016666666668,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,117.9316,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,16.0,106.344,,,2.678999999999988,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,8.0,115.89685714285716,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,N LATIFI,6,Williams,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,118.87183333333331,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,125.84081818181818,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,121.31893333333332,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,17.0,106.401,,,2.73599999999999,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,18.0,116.503675,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,S PEREZ,11,Red Bull Racing,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,122.96628571428572,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,125.45845454545452,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,112.1470909090909,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,3.0,105.377,104.794,104.462,0.796999999999997,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,2.0,114.24557142857144,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,F ALONSO,14,Alpine,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,126.31981818181816,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,121.45808333333332,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,117.73266666666666,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,6.0,106.075,105.552,105.368,1.7029999999999887,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,5.0,115.7175,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,C LECLERC,16,Ferrari,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,116.0337777777778,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,119.3007857142857,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,120.3464,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,4.0,105.572,104.551,104.553,0.887999999999991,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,6.0,115.6982380952381,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,L STROLL,18,Aston Martin,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,116.75685714285716,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,119.5638,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,121.81622222222222,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,14.0,106.256,106.611,,2.945999999999998,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,11.0,116.62254761904764,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,K MAGNUSSEN,20,Haas F1 Team,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,118.8588,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,120.04972727272728,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,122.47328571428572,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,18.0,106.557,,,2.891999999999996,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,16.0,116.96921951219512,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,Y TSUNODA,22,AlphaTauri,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,124.81688888888888,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,124.5645,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,116.906,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,19.0,106.692,,,3.026999999999987,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,13.0,116.85340476190476,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,A ALBON,23,Williams,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,122.907,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,120.98072727272724,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,119.0986923076923,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,9.0,105.672,105.675,105.837,2.171999999999997,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,10.0,116.50635714285714,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,G ZHOU,24,Alfa Romeo,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,119.77511111111112,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,127.63433333333332,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,123.54384615384616,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,13.0,106.178,106.085,,2.4199999999999875,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,14.0,116.796,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,E OCON,31,Alpine,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,125.0695,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,121.01853333333334,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,116.08942857142856,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,5.0,106.039,105.475,105.18,1.5150000000000006,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,7.0,115.9874761904762,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,L HAMILTON,44,Mercedes,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,123.58766666666666,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,122.53476923076924,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,113.86769230769232,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,7.0,105.736,105.42,105.503,1.837999999999994,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,20.0,,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
2022,M SCHUMACHER,47,Haas F1 Team,Practice,Spa-Francorchamps,7.0,Belgian Grand Prix,134.81185714285715,17.5,92.0,968.4,False,20.7,308.0,1.8,17.8,88.0,968.4,True,21.5,327.0,1.7,Practice,120.827,18.2,83.0,968.0,False,22.0,347.0,2.4,17.3,88.0,967.9,False,20.5,330.0,1.2,Practice,115.6714,15.5,83.0,969.0,False,19.8,295.0,1.2,15.1,87.0,969.0,False,19.8,311.0,1.3,Qualifying,15.0,106.342,107.718,,4.052999999999997,15.1,85.0,969.0,False,20.3,305.0,1.3,15.8,81.0,969.0,False,21.3,296.0,2.2,Race,17.0,117.15739024390246,20.8,48.0,971.4,False,34.1,88.0,1.2,21.7,42.0,970.9,False,34.3,292.0,1.8,,,,,,
